name,free_bikes,latitude,longitude
Queen St E / Woodward Ave,18,43.665269,-79.319796
Primrose Ave / Davenport Rd,0,43.67142,-79.445947
Queen St. E / Rhodes Ave.,22,43.666224,-79.317693
Bond St / Queen St E,20,43.653236,-79.376716
Church St / Alexander St,4,43.663722,-79.380288
University Ave / Gerrard St W (East Side),2,43.657763,-79.389165
Edward St / Yonge St,4,43.656729,-79.382736
Euclid Ave / Bloor St W,6,43.664467,-79.414783
Yonge St / Aylmer Ave,5,43.675492,-79.388858
Davenport Rd / Avenue Rd,7,43.674991,-79.396273
Yonge St / Yorkville Ave,3,43.671944,-79.387778
Dundas St E / Broadview Ave,18,43.662365,-79.351104
Front St W / Yonge St (Hockey Hall of Fame),17,43.646144,-79.377962
Gerrard St E / River St,4,43.663993,-79.358534
Jarvis St / Dundas St E,1,43.657266,-79.374756
Logan Av / Gerrard St E,12,43.6672144,-79.3452697
Regal Rd / Dufferin St,7,43.673939,-79.441159
Morse St / Eastern Ave,6,43.657991,-79.340075
Alton Ave / Dundas St E (Greenwood Park),16,43.66745,-79.329408
Blake St / Boultbee Ave,5,43.672453,-79.338259
Eastern Ave / Winnifred Ave,11,43.6592088,-79.3348396
Gamble Ave / Broadview Ave,3,43.689211,-79.35438
111 Bond St (North of Dundas St E)  - SMART,11,43.656927,-79.378497
Dundas St E / Pembroke St - SMART,1,43.658295,-79.372346
Victoria Park Subway Station - SMART,9,43.6940155,-79.2889842
Wychwood Ave / Benson Ave - SMART,0,43.6809164,-79.4229684
Lawton Blvd / Yonge St,0,43.6910667,-79.39535
Yonge St / Davisville Ave,0,43.6975969,-79.39654
Fort York  Blvd / Capreol Ct,3,43.639832,-79.395954
St. George St / Bloor St W,0,43.667333,-79.399429
King St W / York St,5,43.6480008,-79.383177
University Ave / Elm St,1,43.656518,-79.389099
Rosehill Ave / Avoca Ave - SMART,3,43.687999,-79.38906
Bloor St W / Dundas St W,2,43.6563889,-79.45166666666667
Bathurst St / Fort York Blvd,6,43.639179,-79.399595
Spadina Ave / Willcocks St,0,43.6616667,-79.40138888888889
Cariboo Ave / Railpath Trail,1,43.66666667,-79.45833333333334
Dundas St W / Edna Ave,8,43.657192,-79.452559
College St / Major St,0,43.6576,-79.4032
McGill St / Church St,1,43.660694,-79.379052
Queens Quay W / Dan Leckie Way,25,43.636533,-79.395854
College Park South,4,43.659777,-79.382767
25 York St – Union Station South,10,43.643667,-79.380414
161 Bleecker St (South of Wellesley),0,43.666233,-79.373327
Spadina Ave / Fort York Blvd,13,43.640114,-79.393249
Augusta Ave / Denison Sq,9,43.653766,-79.4016759
Lansdowne Subway Station,10,43.6587734,-79.443054
Lansdowne Ave / Whytock Ave,0,43.6538888888889,-79.4413888888889
Sterling Rd / Dundas St W,5,43.6508333333333,-79.4430555555556
St Clarens Ave / College St,4,43.651238,-79.43868
Ossington Ave / College St,9,43.6544915,-79.422634
High Park Subway Station,1,43.6543604,-79.4655296
Lake Shore Blvd W / Ellis Ave,17,43.635932,-79.465083
Parkside Dr / Bloor St W - SMART,12,43.654501,-79.460053
Lake Shore Blvd W / Windermere Ave,18,43.634896,-79.467763
Martin Goodman Trail (Marilyn Bell Park),29,43.6314,-79.4304
Lake Shore Blvd W / The Boulevard Club,18,43.636731,-79.444966
Dundas St W / Roncesvalles Ave Green P -SMART,12,43.6534268,-79.4512787
Erskine Ave / Yonge St SMART,1,43.7112153,-79.39894
D'Arcy St / McCaul St - SMART,9,43.655227,-79.39201
Mortimer Ave / Carlaw Ave SMART,0,43.685167,-79.34962
Cumberland Ave / Bay St SMART,1,43.6704537,-79.39014
20 Charles St E,0,43.6691099,-79.38551
Niagara St / Tecumseth St,12,43.641389,-79.404444
424 Wellington St W,6,43.643834,-79.396649
Dundas St W / St. Patrick St,1,43.6545174,-79.3895315
Robert St / Bloor St W - SMART,0,43.665846,-79.404998
John St  / Mercer St - SMART,7,43.6461,-79.3895
Queen St E / Hammersmith Ave,11,43.671349,-79.29451
Queen St. E / Eastern Ave,14,43.667208,-79.312315
Hubbard Blvd / Balsam Av,15,43.669328,-79.288949
Queen St. E / Spruce Hill Rd.,9,43.672571,-79.289
Lower Spadina Ave / Lake Shore Blvd W,18,43.638497,-79.39192
Lower Coxwell Ave /  Lake Shore Blvd E,14,43.662771,-79.315223
Amelia St. / Sumach St.,1,43.66852,-79.363525
Augusta Ave / Dundas St W,13,43.652473,-79.401456
Queen St W / Ossington Ave,21,43.643975,-79.419576
Trinity St /Front St E,16,43.651318,-79.36023
Dundas St W / Yonge St,28,43.656094,-79.381484
Kendal Ave / Spadina Rd,2,43.670318,-79.405181
Davenport Rd / Bathurst St,6,43.676667,-79.416111
Queen St W / Close Ave,13,43.640634,-79.435841
King St W / Joe Shuster Way,9,43.639444,-79.423611
Yarmouth Rd / Christie St,0,43.67,-79.42083333333333
Palmerston Ave / Vermont Ave,6,43.671389,-79.416389
Christie St / Benson Ave (Wychwood Barns),0,43.68,-79.42500000000001
King St W / Fraser Ave,11,43.6394444,-79.42527777777778
Macpherson Ave / Spadina Rd,1,43.675791,-79.40698
Bridgman Ave / Kendal Ave,8,43.675556,-79.410278
Bridgman Ave / Bathurst St,11,43.674444,-79.414722
Kendal Ave / Bernard Ave,1,43.671513,-79.408317
Pretoria Ave / Broadview Ave,0,43.6783213,-79.35822
Broadview Ave / Westwood Ave,9,43.6848652,-79.356602
Fulton Ave / Pape Ave,4,43.68395,-79.347046
Cosburn Ave / Donlands Ave,3,43.690537,-79.341307
Beltline Trail / Chaplin Cres.,1,43.704461,-79.423122
Lake Shore Blvd E / Leslie St,14,43.659195,-79.329196
King St E / Berkeley St,13,43.651885,-79.3649
Rosedale Park (20 Scholfield Ave),6,43.682645,-79.377557
Mary McCormick Rec Centre (Sheridan Ave),9,43.6475,-79.43305555555555
Soho St / Queen St W,3,43.6494896,-79.393535
Davenport Rd / Lansdowne Ave,1,43.671526,-79.44874
Front St W / University Ave (2),14,43.6452972,-79.3827914
457 King St W,17,43.6452091,-79.3960744
Dufferin St / Sylvan Av (Dufferin Grove Park),17,43.6555556,-79.43361111111112
Roxborough St W / Yonge St,8,43.678077,-79.390328
Crawford St / Queen St W,17,43.645665,-79.415345
Lisgar St / Dundas St W - SMART,6,43.6493472,-79.42668
Dundas St E / Regent Park Blvd,11,43.660207,-79.361275
Lower Sherbourne St / The Esplanade,24,43.648655,-79.367061
Nelson St / Duncan St,23,43.648711,-79.389728
Jimmie Simpson Park (Queen St E),7,43.6605603,-79.3437663
Queen St E / Sackville St,9,43.6561111,-79.36138888888888
Mill St / Tannery Rd,13,43.652219,-79.354455
Cherry St / Distillery Ln,1,43.650279,-79.356832
Queen St W / Spadina Ave,9,43.649147,-79.395504
Yonge St / Harbour St,34,43.643795,-79.375413
Willcocks St / St. George St,4,43.662085,-79.397735
Dundas St E / Parliament St,3,43.659575,-79.365769
51 Parliament St,10,43.65205,-79.362198
Queen's Park / Bloor St W,6,43.668456,-79.393899
Fort York Blvd / Bathurst St - SMART,11,43.639052,-79.399792
Alma Ave / Gladstone Ave SMART,11,43.6448617,-79.42822
Queen St W / Cowan Ave,13,43.6409,-79.432837
Queen St W / Gladstone Ave,10,43.6430555555556,-79.4275
Harbord St / Clinton St,9,43.660414,-79.415646
Central Tech  (Harbord St),3,43.661975,-79.407896
Roxton Rd / Harbord St,1,43.65905,-79.422988
Ulster St / Bathurst St,1,43.66,-79.4088888888889
Mortimer Ave / Coxwell Ave,10,43.690564,-79.326319
Danforth Ave / Barrington Ave,5,43.688325,-79.300463
Pacific Ave / Glenlake Ave,8,43.65716,-79.46478
Broadview Subway Station,0,43.6772,-79.35858
Church St  / Wood St,1,43.662712,-79.379903
College Park - Gerrard Entrance,4,43.658938,-79.383518
Danforth Ave / Coxwell Ave,5,43.683378,-79.322961
12 Harbour St,15,43.6425636,-79.3762
Howard Park Ave / Dundas St W - SMART,5,43.6521,-79.4486
Yonge St / Bloor St,1,43.669969,-79.386532
Dufferin Gate - SMART,8,43.633473,-79.425679
Lake Shore Blvd W / Ontario Dr,20,43.630254,-79.420317
Bloor St W / Shaw Ave - SMART,1,43.662403,-79.423098
Concord Ave / Dewson St,3,43.656945,-79.424911
Hocken Ave / Vaughan Rd,1,43.6817346,-79.4184725
St Clair Ave W / Bathurst St.,1,43.683296,-79.418734
Queen St E / Nursewood Rd,18,43.673831,-79.281455
Kewbeach Ave / Kenilworth Ave,21,43.666325,-79.3014
Dovercourt Rd / Harrison St (Green P) - SMART,12,43.651145,-79.423742
Baldwin St / Spadina Ave - SMART,8,43.654905,-79.398448
Frederick St / King St E,3,43.651118,-79.369411
College St / Borden St,1,43.6571,-79.4056
Beverley  St / Dundas St W,24,43.652823,-79.393388
Bay St / St. Joseph St,0,43.665527,-79.387499
Gould St / Mutual St,18,43.6582,-79.3768
Riverdale Park North (Broadview Ave),9,43.671172,-79.354704
Danforth Ave / Ellerbeck St,3,43.677076,-79.35667
Pape Subway Station (Green P),11,43.680223,-79.344062
Danforth Ave / Gough Ave,0,43.678401,-79.346289
Danforth Ave / Lamb Ave,8,43.681991,-79.329455
King St W / Stafford St,12,43.6422222,-79.41111111111111
Bathurst St / Lennox St,4,43.663808,-79.410491
Bathurst Subway Station,2,43.6666667,-79.41166666666668
Bloor St W / Christie St,0,43.6638889,-79.41888888888889
Ossington Ave / Bloor St W,1,43.661705,-79.425734
Essex St / Christie St - SMART,1,43.6686111,-79.42027777777778
Westmoreland Ave / Fernbank Ave,0,43.665327,-79.43235
Havelock St / Dufferin Park,0,43.657343,-79.43112
Bathurst St / Adelaide St W,12,43.645324,-79.40345
Mill St / Parliament St,8,43.650256,-79.36163
Ossington Ave / Harrison St,18,43.651111111111106,-79.4213888888889
80 Clinton St,5,43.656296,-79.414663
Claremont St / Dundas St W,9,43.651281,-79.411717
Rusholme Park Cres / College St,8,43.65277778,-79.42972222
College St / Crawford St,1,43.655,-79.418889
Gerrard Square Mall (1010 Gerrard St E),6,43.668553,-79.338673
Queen St E / Alton Av,19,43.663912,-79.327987
Simcoe St / Wellington St W North,9,43.6462176,-79.3855048
Coxwell Ave / Plains Rd,11,43.69595,-79.328535
Carlaw Ave / Strathcona Ave,9,43.6753188,-79.3462789
Logan Ave / Bain Ave,9,43.6720273,-79.3470557
Liberty St / Fraser Ave Green P,12,43.637981,-79.424146
King St W / Douro St,10,43.640885,-79.416379
Queen St E / Berkeley St,0,43.6552778,-79.36583333333333
Howard St / Sherbourne St,0,43.6712581,-79.376367
Carlton St / Parliament St,23,43.664524,-79.36793
Sumach St / Carlton St (Riverdale Farm),9,43.665867,-79.362506
King St W / Bay St (East Side),8,43.648575,-79.380042
Front St W / Blue Jays Way,5,43.643473,-79.390477
Metro Hall Plaza,16,43.645859,-79.38783
Parliament St / Gerrard St E,13,43.662132,-79.3656796
Navy Wharf Crt / Bremner Blvd,2,43.640722,-79.391051
Jarvis St / Carlton St,0,43.66207,-79.37617
Lake Shore Blvd E / Knox Ave,9,43.660206,-79.3244
Hubbard Blvd. / Glen Manor Dr.,15,43.668633,-79.291162
Yonge St / Dundonald St - SMART,3,43.665801,-79.384796
Bay St / Charles St W - SMART,0,43.668153,-79.38891
Church St / Dundas St E - SMART,9,43.657024,-79.377257
Yonge St / Alexander St - SMART,0,43.662862,-79.383572
Eglinton Ave W / Henning Ave SMART,0,43.7063473,-79.40161
Balliol St / Yonge St  SMART,0,43.6978701,-79.39419
Frobisher Ave / Lascelles Blvd,8,43.696708,-79.40045
Front St E / Scott St,5,43.6476616,-79.37549
Frederick St / The Esplanade,19,43.6487245,-79.36839
King St W / Bay St (West Side),15,43.64852,-79.380576
Elizabeth St / Edward St (Bus Terminal),10,43.656026,-79.385327
King St W / Spadina Ave,14,43.645323,-79.395003
Glen Edyth Dr / Davenport Rd,4,43.677778,-79.405556
Queens Quay / Yonge St,29,43.641646,-79.375308
Front St W / Bay St (North Side),9,43.646162,-79.378912
Danforth Ave / Westlake Ave,8,43.687323,-79.304848
Jarvis St / Isabella St,1,43.668991,-79.379385
Yonge St / Wood St,0,43.6622222,-79.3825
King St W / Tecumseth St,7,43.64333333333333,-79.40555555555557
Beverley St / College St,5,43.6575,-79.39527777777778
Gould St / Yonge St (TMU),20,43.657424,-79.381019
Front St W / Bay St (South Side),17,43.64595,-79.378761
Charles St W / Balmuto St - SMART,1,43.668427,-79.38725
Charles St E / Jarvis St - SMART,1,43.669604,-79.381171
Queen St E / Pape Ave - SMART,10,43.661673,-79.337789
Gerrard St E / Broadview - SMART,13,43.665656,-79.352055
Humber Bay Shores Park East,21,43.6308933,-79.4722622
