fsq_id,categories,chains,distance,geocodes,link,location,name,related_places,timezone,bike_station_name,Latitude,Longitude,bike_station_coordinates
55667a68498e74fae3631f5e,Coffee Shop,[],440,"{'drop_off': {'latitude': 43.664444, 'longitude': -79.325019}, 'main': {'latitude': 43.664574, 'longitude': -79.325048}, 'roof': {'latitude': 43.664574, 'longitude': -79.325048}}",/v3/places/55667a68498e74fae3631f5e,1374 Queen St E,The Sidekick,{},America/Toronto,Queen St E / Woodward Ave,43.665269,-79.319796,"43.665269, -79.319796"
4b6c32b4f964a520fe282ce3,Lounge,[],759,"{'main': {'latitude': 43.663791, 'longitude': -79.328899}, 'roof': {'latitude': 43.663791, 'longitude': -79.328899}}",/v3/places/4b6c32b4f964a520fe282ce3,5 Hastings Ave,Hasting Snack Bar,{},America/Toronto,Queen St E / Woodward Ave,43.665269,-79.319796,"43.665269, -79.319796"
5859d15c1d21ba53f2f9b4ef,Bar,[],809,"{'drop_off': {'latitude': 43.67254, 'longitude': -79.320847}, 'main': {'latitude': 43.672346, 'longitude': -79.320804}, 'roof': {'latitude': 43.672346, 'longitude': -79.320804}}",/v3/places/5859d15c1d21ba53f2f9b4ef,1471 Gerrard St E,Lake Inez,{},America/Toronto,Queen St E / Woodward Ave,43.665269,-79.319796,"43.665269, -79.319796"
5957bd26d1a40251f53875e5,Bar,[],804,"{'main': {'latitude': 43.672563, 'longitude': -79.319341}, 'roof': {'latitude': 43.672563, 'longitude': -79.319341}}",/v3/places/5957bd26d1a40251f53875e5,242 Coxwell Ave,Godspeed Brewery,{},America/Toronto,Queen St E / Woodward Ave,43.665269,-79.319796,"43.665269, -79.319796"
4fd52f42e4b0b916eb02ab1b,Pizzeria,[],300,"{'drop_off': {'latitude': 43.666686, 'longitude': -79.316707}, 'main': {'latitude': 43.666623, 'longitude': -79.316861}, 'roof': {'latitude': 43.666623, 'longitude': -79.316861}}",/v3/places/4fd52f42e4b0b916eb02ab1b,6 Coxwell Ave,O Sushi,{},America/Toronto,Queen St E / Woodward Ave,43.665269,-79.319796,"43.665269, -79.319796"
4bcb794f3740b71390996265,Pizzeria,[],357,"{'main': {'latitude': 43.664745, 'longitude': -79.324233}, 'roof': {'latitude': 43.664745, 'longitude': -79.324233}}",/v3/places/4bcb794f3740b71390996265,1402 Queen St E,Queen Margherita Pizza,{},America/Toronto,Queen St E / Woodward Ave,43.665269,-79.319796,"43.665269, -79.319796"
5b95932b8c812a002c35ef30,Pizzeria,[],877,"{'main': {'latitude': 43.666892, 'longitude': -79.330277}, 'roof': {'latitude': 43.666892, 'longitude': -79.330277}}",/v3/places/5b95932b8c812a002c35ef30,1555 Dundas St E,Blondies Pizza,{},America/Toronto,Queen St E / Woodward Ave,43.665269,-79.319796,"43.665269, -79.319796"
4ba0153bf964a520995837e3,Pizzeria,[],399,"{'main': {'latitude': 43.666794, 'longitude': -79.315251}, 'roof': {'latitude': 43.666794, 'longitude': -79.315251}}",/v3/places/4ba0153bf964a520995837e3,1646 Queen St E,Casa Di Giorgios,{},America/Toronto,Queen St E / Woodward Ave,43.665269,-79.319796,"43.665269, -79.319796"
54b47574498e6b087d957fa2,Bar,[],824,"{'drop_off': {'latitude': 43.672381, 'longitude': -79.321548}, 'main': {'latitude': 43.672514, 'longitude': -79.321578}, 'roof': {'latitude': 43.672514, 'longitude': -79.321578}}",/v3/places/54b47574498e6b087d957fa2,1438 Gerrard St E,Eulalie's Corner Store,{},America/Toronto,Queen St E / Woodward Ave,43.665269,-79.319796,"43.665269, -79.319796"
4b0ff2a5f964a520a16623e3,Pub,[],617,"{'main': {'latitude': 43.667359, 'longitude': -79.312862}, 'roof': {'latitude': 43.667359, 'longitude': -79.312862}}",/v3/places/4b0ff2a5f964a520a16623e3,1702 Queen St E,Murphy's Law Irish Pub Inc,{},America/Toronto,Queen St E / Woodward Ave,43.665269,-79.319796,"43.665269, -79.319796"
